diagnostic_code,valid_for_coding,category,sub_category,description,record_creation
S36.0,Y,S00-T98,S30-S39,Injury of spleen,2014-11-19 17:21:23.996408
S36.1,Y,S00-T98,S30-S39,Injury of liver or gallbladder,2014-11-19 17:21:23.996408
S36.2,Y,S00-T98,S30-S39,Injury of pancreas,2014-11-19 17:21:23.996408
S36.3,Y,S00-T98,S30-S39,Injury of stomach,2014-11-19 17:21:23.996408
S36.4,Y,S00-T98,S30-S39,Injury of small intestine,2014-11-19 17:21:23.996408
S36.5,Y,S00-T98,S30-S39,Injury of colon,2014-11-19 17:21:23.996408
S36.7,Y,S00-T98,S30-S39,Injury of multiple intra-abdominal organs,2014-11-19 17:21:23.996408
S36.8,Y,S00-T98,S30-S39,Injury of other intra-abdominal organs,2014-11-19 17:21:23.996408
S37.,N,S00-T98,S30-S39,Injury of urinary and pelvic organs,2014-11-19 17:21:23.996408
S37.0,Y,S00-T98,S30-S39,Injury of kidney,2014-11-19 17:21:23.996408
S37.1,Y,S00-T98,S30-S39,Injury of ureter,2014-11-19 17:21:23.996408
S37.2,Y,S00-T98,S30-S39,Injury of bladder,2014-11-19 17:21:23.996408
S37.3,Y,S00-T98,S30-S39,Injury of urethra,2014-11-19 17:21:23.996408
S37.4,Y,S00-T98,S30-S39,Injury of ovary,2014-11-19 17:21:23.996408
S37.6,Y,S00-T98,S30-S39,Injury of uterus,2014-11-19 17:21:23.996408
S37.7,Y,S00-T98,S30-S39,Injury of multiple pelvic organs,2014-11-19 17:21:23.996408
S37.8,Y,S00-T98,S30-S39,Injury of other pelvic organs,2014-11-19 17:21:23.996408
S38.0,Y,S00-T98,S30-S39,Crushing injury of external genital organs,2014-11-19 17:21:23.996408
S38.2,Y,S00-T98,S30-S39,Traumatic amputation of external genital organs,2014-11-19 17:21:23.996408
S38.3,Y,S00-T98,S30-S39,"Traumatic amputation of other and unspecified parts of abdomen, lower back and pelvis",2014-11-19 17:21:23.996408
S39.,N,S00-T98,S30-S39,"Other and unspecified injuries of abdomen, lower back and pelvis",2014-11-19 17:21:23.996408
S39.0,Y,S00-T98,S30-S39,"Injury of muscle and tendon of abdomen, lower back and pelvis",2014-11-19 17:21:23.996408
S39.6,Y,S00-T98,S30-S39,Injury of intra-abdominal organ(s) with pelvic organ(s),2014-11-19 17:21:23.996408
S39.7,Y,S00-T98,S30-S39,"Other multiple injuries of abdomen, lower back and pelvis",2014-11-19 17:21:23.996408
S39.9,Y,S00-T98,S30-S39,"Unspecified injury of abdomen, lower back and pelvis",2014-11-19 17:21:23.996408
S40.,N,S00-T98,S40-S49,Superficial injury of shoulder and upper arm,2014-11-19 17:21:23.996408
S40.0,Y,S00-T98,S40-S49,Contusion of shoulder and upper arm,2014-11-19 17:21:23.996408
S40.7,Y,S00-T98,S40-S49,Multiple superficial injuries of shoulder and upper arm,2014-11-19 17:21:23.996408
S40.8,Y,S00-T98,S40-S49,Other superficial injuries of shoulder and upper arm,2014-11-19 17:21:23.996408
S41.,N,S00-T98,S40-S49,Open wound of shoulder and upper arm,2014-11-19 17:21:23.996408
S41.0,Y,S00-T98,S40-S49,Open wound of shoulder,2014-11-19 17:21:23.996408
S41.1,Y,S00-T98,S40-S49,Open wound of upper arm,2014-11-19 17:21:23.996408
S41.7,Y,S00-T98,S40-S49,Multiple open wounds of shoulder and upper arm,2014-11-19 17:21:23.996408
S41.8,Y,S00-T98,S40-S49,Open wound of other and unspecified parts of shoulder girdle,2014-11-19 17:21:23.996408
S42.,N,S00-T98,S40-S49,Fracture of shoulder and upper arm,2014-11-19 17:21:23.996408
S42.0,Y,S00-T98,S40-S49,Fracture of clavicle,2014-11-19 17:21:23.996408
S42.1,Y,S00-T98,S40-S49,Fracture of scapula,2014-11-19 17:21:23.996408
S42.3,Y,S00-T98,S40-S49,Fracture of shaft of humerus,2014-11-19 17:21:23.996408
S42.4,Y,S00-T98,S40-S49,Fracture of lower end of humerus,2014-11-19 17:21:23.996408
S42.8,Y,S00-T98,S40-S49,Fracture of other parts of shoulder and upper arm,2014-11-19 17:21:23.996408
S42.9,Y,S00-T98,S40-S49,"Fracture of shoulder girdle, part unspecified",2014-11-19 17:21:23.996408
S43.,N,S00-T98,S40-S49,"Dislocation, sprain and strain of joints and ligaments of shoulder girdle",2014-11-19 17:21:23.996408
S43.0,Y,S00-T98,S40-S49,Dislocation of shoulder joint,2014-11-19 17:21:23.996408
S43.1,Y,S00-T98,S40-S49,Dislocation of acromioclavicular joint,2014-11-19 17:21:23.996408
S43.2,Y,S00-T98,S40-S49,Dislocation of sternoclavicular joint,2014-11-19 17:21:23.996408
S43.4,Y,S00-T98,S40-S49,Sprain and strain of shoulder joint,2014-11-19 17:21:23.996408
S43.5,Y,S00-T98,S40-S49,Sprain and strain of acromioclavicular joint,2014-11-19 17:21:23.996408
S43.6,Y,S00-T98,S40-S49,Sprain and strain of sternoclavicular joint,2014-11-19 17:21:23.996408
S44.,N,S00-T98,S40-S49,Injury of nerves at shoulder and upper arm level,2014-11-19 17:21:23.996408
S44.0,Y,S00-T98,S40-S49,Injury of ulnar nerve at upper arm level,2014-11-19 17:21:23.996408
S44.1,Y,S00-T98,S40-S49,Injury of median nerve at upper arm level,2014-11-19 17:21:23.996408
S44.2,Y,S00-T98,S40-S49,Injury of radial nerve at upper arm level,2014-11-19 17:21:23.996408
S44.3,Y,S00-T98,S40-S49,Injury of axillary nerve,2014-11-19 17:21:23.996408
S44.4,Y,S00-T98,S40-S49,Injury of musculocutaneous nerve,2014-11-19 17:21:23.996408
S44.7,Y,S00-T98,S40-S49,Injury of multiple nerves at shoulder and upper arm level,2014-11-19 17:21:23.996408
S44.8,Y,S00-T98,S40-S49,Injury of other nerves at shoulder and upper arm level,2014-11-19 17:21:23.996408
S44.9,Y,S00-T98,S40-S49,Injury of unspecified nerve at shoulder and upper arm level,2014-11-19 17:21:23.996408
S45.,N,S00-T98,S40-S49,Injury of blood vessels at shoulder and upper arm level,2014-11-19 17:21:23.996408
S45.0,Y,S00-T98,S40-S49,Injury of axillary artery,2014-11-19 17:21:23.996408
S45.1,Y,S00-T98,S40-S49,Injury of brachial artery,2014-11-19 17:21:23.996408
S45.2,Y,S00-T98,S40-S49,Injury of axillary or brachial vein,2014-11-19 17:21:23.996408
S45.7,Y,S00-T98,S40-S49,Injury of multiple blood vessels at shoulder and upper arm level,2014-11-19 17:21:23.996408
S45.8,Y,S00-T98,S40-S49,Injury of other blood vessels at shoulder and upper arm level,2014-11-19 17:21:23.996408
S45.9,Y,S00-T98,S40-S49,Injury of unspecified blood vessel at shoulder and upper arm level,2014-11-19 17:21:23.996408
S46.,N,S00-T98,S40-S49,Injury of muscle and tendon at shoulder and upper arm level,2014-11-19 17:21:23.996408
S46.1,Y,S00-T98,S40-S49,Injury of muscle and tendon of long head of biceps,2014-11-19 17:21:23.996408
S46.2,Y,S00-T98,S40-S49,Injury of muscle and tendon of other parts of biceps,2014-11-19 17:21:23.996408
S46.3,Y,S00-T98,S40-S49,Injury of muscle and tendon of triceps,2014-11-19 17:21:23.996408
S46.7,Y,S00-T98,S40-S49,Injury of multiple muscles and tendons at shoulder and upper arm level,2014-11-19 17:21:23.996408
S46.8,Y,S00-T98,S40-S49,Injury of other muscles and tendons at shoulder and upper arm level,2014-11-19 17:21:23.996408
S47.,Y,S00-T98,S40-S49,Crushing injury of shoulder and upper arm,2014-11-19 17:21:23.996408
S48.,N,S00-T98,S40-S49,Traumatic amputation of shoulder and upper arm,2014-11-19 17:21:23.996408
S48.0,Y,S00-T98,S40-S49,Traumatic amputation at shoulder joint,2014-11-19 17:21:23.996408
S48.1,Y,S00-T98,S40-S49,Traumatic amputation at level between shoulder and elbow,2014-11-19 17:21:23.996408
S48.9,Y,S00-T98,S40-S49,"Traumatic amputation of shoulder and upper arm, level unspecified",2014-11-19 17:21:23.996408
S49.,N,S00-T98,S40-S49,Other and unspecified injuries of shoulder and upper arm,2014-11-19 17:21:23.996408
S49.7,Y,S00-T98,S40-S49,Multiple injuries of shoulder and upper arm,2014-11-19 17:21:23.996408
S49.9,Y,S00-T98,S40-S49,Unspecified injury of shoulder and upper arm,2014-11-19 17:21:23.996408
S50.,N,S00-T98,S50-S59,Superficial injury of forearm,2014-11-19 17:21:23.996408
S50.0,Y,S00-T98,S50-S59,Contusion of elbow,2014-11-19 17:21:23.996408
S50.1,Y,S00-T98,S50-S59,Contusion of other and unspecified parts of forearm,2014-11-19 17:21:23.996408
S50.7,Y,S00-T98,S50-S59,Multiple superficial injuries of forearm,2014-11-19 17:21:23.996408
S50.9,Y,S00-T98,S50-S59,"Superficial injury of forearm, unspecified",2014-11-19 17:21:23.996408
S51.,N,S00-T98,S50-S59,Open wound of forearm,2014-11-19 17:21:23.996408
S51.0,Y,S00-T98,S50-S59,Open wound of elbow,2014-11-19 17:21:23.996408
S51.7,Y,S00-T98,S50-S59,Multiple open wounds of forearm,2014-11-19 17:21:23.996408
S51.9,Y,S00-T98,S50-S59,"Open wound of forearm, part unspecified",2014-11-19 17:21:23.996408
S52.,N,S00-T98,S50-S59,Fracture of forearm,2014-11-19 17:21:23.996408
S52.1,Y,S00-T98,S50-S59,Fracture of upper end of radius,2014-11-19 17:21:23.996408
S52.3,Y,S00-T98,S50-S59,Fracture of shaft of radius,2014-11-19 17:21:23.996408
S52.4,Y,S00-T98,S50-S59,Fracture of shafts of both ulna and radius,2014-11-19 17:21:23.996408
S52.5,Y,S00-T98,S50-S59,Fracture of lower end of radius,2014-11-19 17:21:23.996408
S52.7,Y,S00-T98,S50-S59,Multiple fractures of forearm,2014-11-19 17:21:23.996408
S52.8,Y,S00-T98,S50-S59,Fracture of other parts of forearm,2014-11-19 17:21:23.996408
S52.9,Y,S00-T98,S50-S59,"Fracture of forearm, part unspecified",2014-11-19 17:21:23.996408
S53.0,Y,S00-T98,S50-S59,Dislocation of radial head,2014-11-19 17:21:23.996408
S53.1,Y,S00-T98,S50-S59,"Dislocation of elbow, unspecified",2014-11-19 17:21:23.996408
S53.2,Y,S00-T98,S50-S59,Traumatic rupture of radial collateral ligament,2014-11-19 17:21:23.996408
S53.3,Y,S00-T98,S50-S59,Traumatic rupture of ulnar collateral ligament,2014-11-19 17:21:23.996408
S53.4,Y,S00-T98,S50-S59,Sprain and strain of elbow,2014-11-19 17:21:23.996408
S54.,N,S00-T98,S50-S59,Injury of nerves at forearm level,2014-11-19 17:21:23.996408
S54.1,Y,S00-T98,S50-S59,Injury of median nerve at forearm level,2014-11-19 17:21:23.996408
S54.2,Y,S00-T98,S50-S59,Injury of radial nerve at forearm level,2014-11-19 17:21:23.996408
S54.3,Y,S00-T98,S50-S59,Injury of cutaneous sensory nerve at forearm level,2014-11-19 17:21:23.996408
S54.7,Y,S00-T98,S50-S59,Injury of multiple nerves at forearm level,2014-11-19 17:21:23.996408
S54.9,Y,S00-T98,S50-S59,Injury of unspecified nerve at forearm level,2014-11-19 17:21:23.996408
S55.,N,S00-T98,S50-S59,Injury of blood vessels at forearm level,2014-11-19 17:21:23.996408
S55.0,Y,S00-T98,S50-S59,Injury of ulnar artery at forearm level,2014-11-19 17:21:23.996408
S55.1,Y,S00-T98,S50-S59,Injury of radial artery at forearm level,2014-11-19 17:21:23.996408
S55.2,Y,S00-T98,S50-S59,Injury of vein at forearm level,2014-11-19 17:21:23.996408
S55.8,Y,S00-T98,S50-S59,Injury of other blood vessels at forearm level,2014-11-19 17:21:23.996408
S55.9,Y,S00-T98,S50-S59,Injury of unspecified blood vessel at forearm level,2014-11-19 17:21:23.996408
S56.,N,S00-T98,S50-S59,Injury of muscle and tendon at forearm level,2014-11-19 17:21:23.996408
S56.1,Y,S00-T98,S50-S59,Injury of long flexor muscle and tendon of other finger(s) at forearm level,2014-11-19 17:21:23.996408
S56.2,Y,S00-T98,S50-S59,Injury of other flexor muscle and tendon at forearm level,2014-11-19 17:21:23.996408
S56.3,Y,S00-T98,S50-S59,Injury of extensor or abductor muscles and tendons of thumb at forearm level,2014-11-19 17:21:23.996408
S56.4,Y,S00-T98,S50-S59,Injury of extensor muscle and tendon of other finger(s) at forearm level,2014-11-19 17:21:23.996408
S56.5,Y,S00-T98,S50-S59,Injury of other extensor muscle and tendon at forearm level,2014-11-19 17:21:23.996408
S56.7,Y,S00-T98,S50-S59,Injury of multiple muscles and tendons at forearm level,2014-11-19 17:21:23.996408
S57.,N,S00-T98,S50-S59,Crushing injury of forearm,2014-11-19 17:21:23.996408
S57.0,Y,S00-T98,S50-S59,Crushing injury of elbow,2014-11-19 17:21:23.996408
S57.8,Y,S00-T98,S50-S59,Crushing injury of other parts of forearm,2014-11-19 17:21:23.996408
S57.9,Y,S00-T98,S50-S59,"Crushing injury of forearm, part unspecified",2014-11-19 17:21:23.996408
S58.,N,S00-T98,S50-S59,Traumatic amputation of forearm,2014-11-19 17:21:23.996408
S58.0,Y,S00-T98,S50-S59,Traumatic amputation at elbow level,2014-11-19 17:21:23.996408
S58.9,Y,S00-T98,S50-S59,"Traumatic amputation of forearm, level unspecified",2014-11-19 17:21:23.996408
S59.,N,S00-T98,S50-S59,Other and unspecified injuries of forearm,2014-11-19 17:21:23.996408
S59.7,Y,S00-T98,S50-S59,Multiple injuries of forearm,2014-11-19 17:21:23.996408
S59.8,Y,S00-T98,S50-S59,Other specified injuries of forearm,2014-11-19 17:21:23.996408
S59.9,Y,S00-T98,S50-S59,Unspecified injury of forearm,2014-11-19 17:21:23.996408
S60.0,Y,S00-T98,S60-S69,Contusion of finger(s) without damage to nail,2014-11-19 17:21:23.996408
S60.1,Y,S00-T98,S60-S69,Contusion of finger(s) with damage to nail,2014-11-19 17:21:23.996408
S60.2,Y,S00-T98,S60-S69,Contusion of other parts of wrist and hand,2014-11-19 17:21:23.996408
S60.8,Y,S00-T98,S60-S69,Other superficial injuries of wrist and hand,2014-11-19 17:21:23.996408
S60.9,Y,S00-T98,S60-S69,"Superficial injury of wrist and hand, unspecified",2014-11-19 17:21:23.996408
S61.,N,S00-T98,S60-S69,Open wound of wrist and hand,2014-11-19 17:21:23.996408
S61.0,Y,S00-T98,S60-S69,Open wound of finger(s) without damage to nail,2014-11-19 17:21:23.996408
S61.1,Y,S00-T98,S60-S69,Open wound of finger(s) with damage to nail,2014-11-19 17:21:23.996408
S61.8,Y,S00-T98,S60-S69,Open wound of other parts of wrist and hand,2014-11-19 17:21:23.996408
S61.9,Y,S00-T98,S60-S69,"Open wound of wrist and hand part, part unspecified",2014-11-19 17:21:23.996408
S62.,N,S00-T98,S60-S69,Fracture at wrist and hand level,2014-11-19 17:21:23.996408
S62.0,Y,S00-T98,S60-S69,Fracture of navicular [scaphoid] bone of hand,2014-11-19 17:21:23.996408
S62.2,Y,S00-T98,S60-S69,Fracture of first metacarpal bone,2014-11-19 17:21:23.996408
S62.3,Y,S00-T98,S60-S69,Fracture of other metacarpal bone,2014-11-19 17:21:23.996408
S62.4,Y,S00-T98,S60-S69,Multiple fractures of metacarpal bones,2014-11-19 17:21:23.996408
S62.5,Y,S00-T98,S60-S69,Fracture of thumb,2014-11-19 17:21:23.996408
S62.6,Y,S00-T98,S60-S69,Fracture of other finger,2014-11-19 17:21:23.996408
S62.8,Y,S00-T98,S60-S69,Fracture of other and unspecified parts of wrist and hand,2014-11-19 17:21:23.996408
S63.0,Y,S00-T98,S60-S69,Dislocation of wrist,2014-11-19 17:21:23.996408
S63.1,Y,S00-T98,S60-S69,Dislocation of finger,2014-11-19 17:21:23.996408
S63.2,Y,S00-T98,S60-S69,Multiple dislocations of fingers,2014-11-19 17:21:23.996408
S63.3,Y,S00-T98,S60-S69,Traumatic rupture of ligament of wrist and carpus,2014-11-19 17:21:23.996408
S63.4,Y,S00-T98,S60-S69,Traumatic rupture of ligament of finger at metacarpophalangeal and interphalangeal joint(s),2014-11-19 17:21:23.996408
S63.5,Y,S00-T98,S60-S69,Sprain and strain of wrist,2014-11-19 17:21:23.996408
S63.6,Y,S00-T98,S60-S69,Sprain and strain of finger(s),2014-11-19 17:21:23.996408
S64.,N,S00-T98,S60-S69,Injury of nerves at wrist and hand level,2014-11-19 17:21:23.996408
S64.0,Y,S00-T98,S60-S69,Injury of ulnar nerve at wrist and hand level,2014-11-19 17:21:23.996408
S64.1,Y,S00-T98,S60-S69,Injury of median nerve at wrist and hand level,2014-11-19 17:21:23.996408
S64.2,Y,S00-T98,S60-S69,Injury of radial nerve at wrist and hand level,2014-11-19 17:21:23.996408
S64.3,Y,S00-T98,S60-S69,Injury of digital nerve of thumb,2014-11-19 17:21:23.996408
S64.4,Y,S00-T98,S60-S69,Injury of digital nerve of other finger,2014-11-19 17:21:23.996408
T16.,Y,S00-T98,T15-T19,Foreign body in ear,2014-11-19 17:21:23.996408
S64.9,Y,S00-T98,S60-S69,Injury of unspecified nerve at wrist and hand level,2014-11-19 17:21:23.996408
S65.,N,S00-T98,S60-S69,Injury of blood vessels at wrist and hand level,2014-11-19 17:21:23.996408
S65.0,Y,S00-T98,S60-S69,Injury of ulnar artery at wrist and hand level,2014-11-19 17:21:23.996408
S65.1,Y,S00-T98,S60-S69,Injury of radial artery at wrist and hand level,2014-11-19 17:21:23.996408
S65.2,Y,S00-T98,S60-S69,Injury of superficial palmar arch,2014-11-19 17:21:23.996408
S65.4,Y,S00-T98,S60-S69,Injury of blood vessel(s) of thumb,2014-11-19 17:21:23.996408
S65.5,Y,S00-T98,S60-S69,Injury of blood vessel(s) of other finger,2014-11-19 17:21:23.996408
S65.8,Y,S00-T98,S60-S69,Injury of other blood vessels at wrist and hand level,2014-11-19 17:21:23.996408
S65.9,Y,S00-T98,S60-S69,Injury of unspecified blood vessel at wrist and hand level,2014-11-19 17:21:23.996408
S66.,N,S00-T98,S60-S69,Injury of muscle and tendon at wrist and hand level,2014-11-19 17:21:23.996408
S66.0,Y,S00-T98,S60-S69,Injury of long flexor muscle and tendon of thumb at wrist and hand level,2014-11-19 17:21:23.996408
S66.1,Y,S00-T98,S60-S69,Injury of flexor muscle and tendon of other finger at wrist and hand level,2014-11-19 17:21:23.996408
S66.3,Y,S00-T98,S60-S69,Injury of extensor muscle and tendon of other finger at wrist and hand level,2014-11-19 17:21:23.996408
S66.4,Y,S00-T98,S60-S69,Injury of intrinsic muscle and tendon of thumb at wrist and hand level,2014-11-19 17:21:23.996408
S66.5,Y,S00-T98,S60-S69,Injury of intrinsic muscle and tendon of other finger at wrist and hand level,2014-11-19 17:21:23.996408
S66.6,Y,S00-T98,S60-S69,Injury of multiple flexor muscles and tendons at wrist and hand level,2014-11-19 17:21:23.996408
S66.7,Y,S00-T98,S60-S69,Injury of multiple extensor muscles and tendons at wrist and hand level,2014-11-19 17:21:23.996408
S66.8,Y,S00-T98,S60-S69,Injury of other muscles and tendons at wrist and hand level,2014-11-19 17:21:23.996408
S67.,N,S00-T98,S60-S69,Crushing injury of wrist and hand,2014-11-19 17:21:23.996408
S67.0,Y,S00-T98,S60-S69,Crushing injury of thumb and other finger(s),2014-11-19 17:21:23.996408
S67.8,Y,S00-T98,S60-S69,Crushing injury of other and unspecified parts of wrist and hand,2014-11-19 17:21:23.996408
S68.,N,S00-T98,S60-S69,Traumatic amputation of wrist and hand,2014-11-19 17:21:23.996408
S68.0,Y,S00-T98,S60-S69,Traumatic amputation of thumb (complete)(partial),2014-11-19 17:21:23.996408
S68.2,Y,S00-T98,S60-S69,Traumatic amputation of two or more fingers alone (complete)(partial),2014-11-19 17:21:23.996408
S68.3,Y,S00-T98,S60-S69,Combined traumatic amputation of (part of) finger(s) with other parts of wrist and hand,2014-11-19 17:21:23.996408
S68.4,Y,S00-T98,S60-S69,Traumatic amputation of hand at wrist level,2014-11-19 17:21:23.996408
S68.8,Y,S00-T98,S60-S69,Traumatic amputation of other parts of wrist and hand,2014-11-19 17:21:23.996408
S68.9,Y,S00-T98,S60-S69,"Traumatic amputation of wrist and hand, level unspecified",2014-11-19 17:21:23.996408
S69.,N,S00-T98,S60-S69,Other and unspecified injuries of wrist and hand,2014-11-19 17:21:23.996408
S69.7,Y,S00-T98,S60-S69,Multiple injuries of wrist and hand,2014-11-19 17:21:23.996408
S69.9,Y,S00-T98,S60-S69,Unspecified injury of wrist and hand,2014-11-19 17:21:23.996408
S70.,N,S00-T98,S70-S79,Superficial injury of hip and thigh,2014-11-19 17:21:23.996408
S70.0,Y,S00-T98,S70-S79,Contusion of hip,2014-11-19 17:21:23.996408
S70.1,Y,S00-T98,S70-S79,Contusion of thigh,2014-11-19 17:21:23.996408
S70.8,Y,S00-T98,S70-S79,Other superficial injuries of hip and thigh,2014-11-19 17:21:23.996408
S70.9,Y,S00-T98,S70-S79,"Superficial injury of hip and thigh, unspecified",2014-11-19 17:21:23.996408
S71.,N,S00-T98,S70-S79,Open wound of hip and thigh,2014-11-19 17:21:23.996408
S71.0,Y,S00-T98,S70-S79,Open wound of hip,2014-11-19 17:21:23.996408
S71.1,Y,S00-T98,S70-S79,Open wound of thigh,2014-11-19 17:21:23.996408
S71.8,Y,S00-T98,S70-S79,Open wound of other and unspecified parts of pelvic girdle,2014-11-19 17:21:23.996408
S72.,N,S00-T98,S70-S79,Fracture of femur,2014-11-19 17:21:23.996408
S72.0,Y,S00-T98,S70-S79,Fracture of neck of femur,2014-11-19 17:21:23.996408
S72.1,Y,S00-T98,S70-S79,Pertrochanteric fracture,2014-11-19 17:21:23.996408
S72.3,Y,S00-T98,S70-S79,Fracture of shaft of femur,2014-11-19 17:21:23.996408
S72.4,Y,S00-T98,S70-S79,Fracture of lower end of femur,2014-11-19 17:21:23.996408
S72.7,Y,S00-T98,S70-S79,Multiple fractures of femur,2014-11-19 17:21:23.996408
S72.9,Y,S00-T98,S70-S79,"Fracture of femur, part unspecified",2014-11-19 17:21:23.996408
S73.,N,S00-T98,S70-S79,"Dislocation, sprain and strain of joint and ligaments of hip",2014-11-19 17:21:23.996408
S73.0,Y,S00-T98,S70-S79,Dislocation of hip,2014-11-19 17:21:23.996408
S73.1,Y,S00-T98,S70-S79,Sprain and strain of hip,2014-11-19 17:21:23.996408
S74.0,Y,S00-T98,S70-S79,Injury of sciatic nerve at hip and thigh level,2014-11-19 17:21:23.996408
S74.1,Y,S00-T98,S70-S79,Injury of femoral nerve at hip and thigh level,2014-11-19 17:21:23.996408
S74.2,Y,S00-T98,S70-S79,Injury of cutaneous sensory nerve at hip and thigh level,2014-11-19 17:21:23.996408
S74.8,Y,S00-T98,S70-S79,Injury of other nerves at hip and thigh level,2014-11-19 17:21:23.996408
S74.9,Y,S00-T98,S70-S79,Injury of unspecified nerve at hip and thigh level,2014-11-19 17:21:23.996408
S75.,N,S00-T98,S70-S79,Injury of blood vessels at hip and thigh level,2014-11-19 17:21:23.996408
S75.0,Y,S00-T98,S70-S79,Injury of femoral artery,2014-11-19 17:21:23.996408
S75.1,Y,S00-T98,S70-S79,Injury of femoral vein at hip and thigh level,2014-11-19 17:21:23.996408
S75.7,Y,S00-T98,S70-S79,Injury of multiple blood vessels at hip and thigh level,2014-11-19 17:21:23.996408
S75.8,Y,S00-T98,S70-S79,Injury of other blood vessels at hip and thigh level,2014-11-19 17:21:23.996408
S75.9,Y,S00-T98,S70-S79,Injury of unspecified blood vessel at hip and thigh level,2014-11-19 17:21:23.996408
S76.,N,S00-T98,S70-S79,Injury of muscle and tendon at hip and thigh level,2014-11-19 17:21:23.996408
S76.0,Y,S00-T98,S70-S79,Injury of muscle and tendon of hip,2014-11-19 17:21:23.996408
S76.1,Y,S00-T98,S70-S79,Injury of quadriceps muscle and tendon,2014-11-19 17:21:23.996408
S76.3,Y,S00-T98,S70-S79,Injury of muscle and tendon of the posterior muscle group at thigh level,2014-11-19 17:21:23.996408
S76.4,Y,S00-T98,S70-S79,Injury of other and unspecified muscles and tendons at thigh level,2014-11-19 17:21:23.996408
S76.7,Y,S00-T98,S70-S79,Injury of multiple muscles and tendons at hip and thigh level,2014-11-19 17:21:23.996408
S77.,N,S00-T98,S70-S79,Crushing injury of hip and thigh,2014-11-19 17:21:23.996408
S77.0,Y,S00-T98,S70-S79,Crushing injury of hip,2014-11-19 17:21:23.996408
T52.1,Y,S00-T98,T51-T65,Toxic effect: Benzene,2014-11-19 17:21:23.996408
S78.,N,S00-T98,S70-S79,Traumatic amputation of hip and thigh,2014-11-19 17:21:23.996408
S78.1,Y,S00-T98,S70-S79,Traumatic amputation at level between hip and knee,2014-11-19 17:21:23.996408
S78.9,Y,S00-T98,S70-S79,"Traumatic amputation of hip and thigh, level unspecified",2014-11-19 17:21:23.996408
S79.,N,S00-T98,S70-S79,Other and specified injuries of hip and thigh,2014-11-19 17:21:23.996408
S79.7,Y,S00-T98,S70-S79,Multiple injuries of hip and thigh,2014-11-19 17:21:23.996408
S79.9,Y,S00-T98,S70-S79,Unspecified injury of hip and thigh,2014-11-19 17:21:23.996408
S80.,N,S00-T98,S80-S89,Superficial injury of lower leg,2014-11-19 17:21:23.996408
S80.0,Y,S00-T98,S80-S89,Contusion of knee,2014-11-19 17:21:23.996408
S80.7,Y,S00-T98,S80-S89,Multiple superficial injuries of lower leg,2014-11-19 17:21:23.996408
S80.8,Y,S00-T98,S80-S89,Other superficial injuries of lower leg,2014-11-19 17:21:23.996408
S80.9,Y,S00-T98,S80-S89,"Superficial injury of lower leg, unspecified",2014-11-19 17:21:23.996408
S81.,N,S00-T98,S80-S89,Open wound of lower leg,2014-11-19 17:21:23.996408
S81.0,Y,S00-T98,S80-S89,Open wound of knee,2014-11-19 17:21:23.996408
S81.7,Y,S00-T98,S80-S89,Multiple open wounds of lower leg,2014-11-19 17:21:23.996408
S81.9,Y,S00-T98,S80-S89,"Open wound of lower leg, part unspecified",2014-11-19 17:21:23.996408
S82.,N,S00-T98,S80-S89,"Fracture of lower leg, including ankle",2014-11-19 17:21:23.996408
S82.0,Y,S00-T98,S80-S89,Fracture of patella,2014-11-19 17:21:23.996408
S82.1,Y,S00-T98,S80-S89,Fracture of upper end of tibia,2014-11-19 17:21:23.996408
S82.3,Y,S00-T98,S80-S89,Fracture of lower end of tibia,2014-11-19 17:21:23.996408
S82.4,Y,S00-T98,S80-S89,Fracture of fibula alone,2014-11-19 17:21:23.996408
S82.5,Y,S00-T98,S80-S89,Fracture of medial malleolus,2014-11-19 17:21:23.996408
S82.6,Y,S00-T98,S80-S89,Fracture of lateral malleolus,2014-11-19 17:21:23.996408
S82.8,Y,S00-T98,S80-S89,Fractures of other parts of lower leg,2014-11-19 17:21:23.996408
S82.9,Y,S00-T98,S80-S89,"Fracture of lower leg, part unspecified",2014-11-19 17:21:23.996408
S83.0,Y,S00-T98,S80-S89,Dislocation of patella,2014-11-19 17:21:23.996408
S83.1,Y,S00-T98,S80-S89,Dislocation of knee,2014-11-19 17:21:23.996408
S83.2,Y,S00-T98,S80-S89,"Tear of meniscus, current",2014-11-19 17:21:23.996408
S83.3,Y,S00-T98,S80-S89,"Tear of articular cartilage of knee, current",2014-11-19 17:21:23.996408
S83.5,Y,S00-T98,S80-S89,Sprain and strain involving (anterior)(posterior) cruciate ligament of knee,2014-11-19 17:21:23.996408
S83.6,Y,S00-T98,S80-S89,Sprain and strain of other and unspecified parts of knee,2014-11-19 17:21:23.996408
S83.7,Y,S00-T98,S80-S89,Injury to multiple structures of knee,2014-11-19 17:21:23.996408
S84.,N,S00-T98,S80-S89,Injury of nerves at lower leg level,2014-11-19 17:21:23.996408
S84.0,Y,S00-T98,S80-S89,Injury of tibial nerve at lower leg level,2014-11-19 17:21:23.996408
S84.1,Y,S00-T98,S80-S89,Injury of peroneal nerve at lower leg level,2014-11-19 17:21:23.996408
S84.2,Y,S00-T98,S80-S89,Injury of cutaneous sensory nerve at lower leg level,2014-11-19 17:21:23.996408
S84.7,Y,S00-T98,S80-S89,Injury of multiple nerves at lower leg level,2014-11-19 17:21:23.996408
